Calf ID,Diet,Sampling_date,Antibiotic_bef_aft,Farm,Acetic acid (mM),Propionic acid (mM),Butyric acid (mM),Isobutyric acid (mM),Valeric acid (mM),Isovaleric acid (mM),Total SCFA (mM),Acetic acid (%),Propionic acid (%),Butyric acid (%),Isobutyric acid (%),Valeric acid (%),Isovaleric acid (%),Acetate:Propionate,Total scours score,Body weight gain (kg),Hip height gain (cm),Body girth gain (cm),Average daily gain (kg),Total serum protein (g/L),"MR (DM intake, kg) ","Starter (DM intake, kg) ",Total DM intake (kg) ,Total CP intake (kg),Total ME intake (MJ) ,"MR (DM intake of total, %) ","MR (CP intake of total, %) ","MR (ME intake of total, %) ","MR (DM intake, % of initial BW)","MR (DM intake, kg), wk ","Starter (DM intake, kg), wk","Total DM intake (kg), wk ","Total CP intake (kg), wk ","Total ME intake (MJ), wk ","MR (DM intake of total, %), wk ","MR (CP intake of total, %), wk ","MR (ME intake of total, %), wk ","MR (DM intake, % of initial BW), wk ",Ruminococcaceae UCG-005,Lachnospiraceae unclassified,Bacteroides,Blautia,Alloprevotella,Muribaculaceae unc 1,Rikenellaceae RC9 gut group,Clostridium sensu stricto 1,Romboutsia,Prevotella 2,Eubacterium coprostanoligenes group,Christensenellaceae R7 group,Ruminococcaceae UCG-014,Fusobacterium,Porphyromonadaceae unc,Faecalibacterium,Mollicutes RF39,Ruminococcaceae UCG-010,Prevotellaceae UCG-003,Lachnospiraceae UCG-010,Ruminococcus gauvreauii group,Bifidobacterium,Tyzzerella 4,Paeniclostridium,Roseburia,Turicibacter,Streptococcus,Mollicutes RF39 unc,Pseudomonas,Ruminococcaceae UCG-013,Sharpea,Akkermansia,Terrisporobacter,Peptococcaceae unc,Subdoligranulum,Phascolarctobacterium,Sutterella,Prevotella 9,Ruminiclostridium 9,Prevotellaceae NK3B31 group,Ruminococcaceae,Ruminococcus 1,Olsenella,Odoribacter,Oscillibacter,Ruminococcus torques group,Alistipes,Clostridiales family XIII AD3011 group,Parabacteroides,Lachnospiraceae NK4A136 group,Prevotellaceae Ga6A1 group,Ruminococcaceae unc,Desulfovibrio,Erysipelotrichaceae unc 1,Agathobacter,Anaerovibrio,Lachnospiraceae AC2044 group,Holdemanella,Prevotella 1,Ruminococcaceae UCG-002,Peptoclostridium,Succinivibrio,Lachnospiraceae unc 1,Lachnospiraceae NK3A20 group,Clostridioides,Erysipelotrichaceae UCG-003,Ruminococcaceae NK4A214 group,Megamonas,Mollicutes RF39 unc rumen,Lachnospiraceae unc 2,Catenibacterium,Clostridiales vadinbb60 group unc,Eubacterium nodatum group,Prevotellaceae unc,Muribaculaceae gut metagenome,Treponema 2,Lachnospiraceae GCA-900066575,Anaerostipes,Lachnoclostridium,Faecalitalea,Erysipelotrichaceae unc 2,Lachnospiraceae UCG-001,Acetitomaculum,Ruminococcaceae UCG-009,Lactococcus,Lachnospiraceae UCG-004,Fournierella,Coprococcus 3,Peptococcus,Lachnoclostridium 10,Muribaculaceae unc 2,Bacteroidales unclassified,Intestinimonas,Escherichia Shigella,Ruminococcus 2,Enterobacteriaceae,Bacteroidales unc,Dorea,Erysipelotrichaceae UCG-004,Marvinbryantia,Tyzzerella,Candidatus Stoquefichus,Ruminiclostridium 6,Erysipelotrichaceae UCG-002,Megasphaera,Butyricicoccus,Other
1,ADLIB,2017-09-28,Pre_AB,Farmway,,,,,,,,,,,,,,,0,74.5,19.5,31,0.876470588,56.56139448,1.290976139,0.05292,1.343896139,0.258311081,27.30884869,0.960621957,0.968792577,0.97335479,30.35858689,2.064022071,0.09711,2.161132071,0.55563057,43.83347695,0.955666725,0.964752655,0.969850953,48.5375303,8.606060606,5.797979798,27.74410774,5.131313131,3.555555556,0.276094276,2.949494949,0.65993266,1.420875421,1.407407407,1.259259259,0.592592593,2.653198653,5.037037037,0.343434343,2.855218855,2.417508418,0,1.387205387,0.686868687,0.7003367,0.060606061,0.377104377,0.936026936,0.276094276,0.390572391,0.127946128,1.427609428,0.148148148,0,0.053872054,0,0.222222222,0.161616162,0.080808081,0.377104377,0.478114478,0.181818182,0.747474747,0.067340067,0.127946128,0.101010101,0,0.781144781,0.383838384,0.195286195,0.087542088,0.141414141,0.666666667,0.262626263,0.033670034,0.505050505,0,0.397306397,0.175084175,0.148148148,0.262626263,0.28956229,0.235690236,0,0.754208754,0.053872054,0.175084175,0.067340067,0.134680135,0.841750842,0.060606061,0.047138047,0,3.138047138,0,0.074074074,0,0.121212121,0.026936027,0,0.28956229,0.053872054,0.195286195,0.175084175,2.61952862,0,0,0,0.222222222,0,0,0,0.28956229,0,0,0,0.094276094,0,0,0.154882155,0,0.148148148,0.148148148,0.047138047,0.148148148,0.094276094,0,0,0,0.276094276,3.158249158
4,ADLIB,2017-09-28,Pre_AB,Farmway,57.64890905,20.90153302,10.96703379,2.64568288,0.440066517,2.849380968,95.54030089,60.33988643,21.87718986,11.47896091,2.769179974,0.460608259,2.982386429,2.758321007,0,57.5,16,27,0.668604651,59.30699431,1.321632411,0.15189,1.473522411,0.318746291,29.30089884,0.896920468,0.917168922,0.92872275,24.77960103,1.821232286,0.2110275,2.032259786,0.515841511,40.40080089,0.895175488,0.915526834,0.927189037,34.1467182,0.896761694,2.452255743,5.756988652,20.85801273,4.035427622,0.13838915,0,0.498200941,1.06836424,3.337946305,0,0.077497924,0.282313867,3.957929698,0.636590091,3.077774702,0,0,0.132853584,0,2.291724329,0.448380847,1.062828674,0.099640188,0,0.127318018,13.34624965,0,0.22142264,0.011071132,1.073899806,0.02767783,0.182673678,0,0,0.808192638,0.304456131,0.249100471,0.105175754,0,0,0,1.184611126,0,0,3.099916967,0,0,0.177138112,0.498200941,0,0,0.022142264,0,0,0.033213396,0,3.675615832,0,0,4.638804318,0,0.597841129,0.276778301,0,0.094104622,0,1.084970938,0,0,0,0,0.044284528,0.088569056,0.044284528,0,0.260171603,2.003874896,0.647661223,0,0,0,0.105175754,0,0.132853584,0.254636037,0,0.13838915,0.963188486,0,0,0,0.077497924,0.13838915,0,0.426238583,0,0.204815942,0,0,1.018544146,0,0,0.116246886,0.160531414,0.492665375,9.731525048
7,ADLIB,2017-09-28,Pre_AB,Farmway,,,,,,,,,,,,,,,7,49.5,11,26,0.575581395,63.6044549,1.069335589,0.062716875,1.132052464,0.248488033,22.87997681,0.944598968,0.955941745,0.962309532,22.82527473,1.93161,0.041085,1.972695,0.509827296,40.33676865,0.978571918,0.983062146,0.985559182,41.2307692,13.43852956,1.564071441,18.77579331,5.659788452,7.074735564,0.20461245,0.388416855,5.892144963,2.951274493,2.961678516,0.971042136,0.260100572,0.39535287,8.316282296,1.460031212,0.61383735,0.301716664,0,1.075082365,1.414947113,0.357204786,0.055488122,0.558349228,2.715449974,0.367608809,0.353736778,0.26356858,0.024276053,0.097104214,0,0.020808046,0.027744061,1.66811167,0.242760534,0.135252298,0.586093289,0.669325473,0.104040229,0.46818103,0.135252298,0.346800763,0,0,0.506329114,0,0.117912259,0,0,0.128316282,0.683197503,3.148950928,0.228888504,0,0.152592336,0,0,0.211548465,0.773365701,0.055488122,0,1.421883128,0.027744061,0.364140801,0,0.194208427,0.301716664,0.048552107,0,0,0.194208427,0.325992717,0,0.138720305,0.083232183,0,0,0.579157274,0.055488122,0.235824519,0,0,0,0,0,0.211548465,0.138720305,0.280908618,0,0.572221259,0,0,0.006936015,0.052020114,0.13178429,0,0.194208427,0,0.319056702,0.017340038,0,0.13178429,0.076296168,0,0,0.024276053,0.225420496,4.723426392
152,ADLIB,2017-09-28,Pre_AB,Ohau,,,,,,,,,,,,,,,0,55,19,29,0.647058824,49.56708786,1.126652375,0.063339375,1.18999175,0.233768426,24.06868881,0.946773265,0.957690817,0.963815378,29.49371069,2.0454885,0.1437975,2.189286,0.560343505,44.09382384,0.933214872,0.946596986,0.954173879,53.5471698,2.981051944,1.396602418,0.963737341,8.845148644,4.28781444,0.596210389,1.233257106,1.772296635,1.747794838,3.716105848,0.726886638,0.236850702,3.356746161,0.147010781,1.968311009,5.904933028,0.032669062,0,1.608951323,0,2.180659915,0.106174453,0,0.506370467,2.213328977,0.530872264,0.171512578,0.506370467,0.220516171,0.07350539,0,0.098007187,0.212348906,0.163345312,3.209735381,0.865730154,0.302188827,7.669062398,0.424697811,0.792224763,0.310356093,0,0,0.07350539,0,0.906566482,0,0,0,0.179679843,0.588043123,0.179679843,0,0.114341718,0.596210389,0.400196014,0,1.192420778,0.13067625,0,0.326690624,0.367526952,0.040836328,0.253185234,0.049003594,1.894805619,0.106174453,7.032015681,0,0,0.179679843,0,0,0.563541326,0,0,0.196014374,11.90787324,0.343025155,0,0,0,0,0,0.171512578,1.323097027,0.375694218,0.245017968,0.33485789,0,0,0,0.359359686,0,0.236850702,0.261352499,0,0.653381248,0,0,0.285854296,0,0.032669062,0,0,0.057170859,5.962103888
156,ADLIB,2017-09-28,Pre_AB,Ohau,,,,,,,,,,,,,,,11,60.5,15,40,0.720238095,55.03699966,1.258789875,0.17181,1.430599875,0.311596411,28.28087103,0.879903526,0.903133697,0.916466947,26.86923077,1.908340071,0.265185,2.173525071,0.549502823,42.93901582,0.880806364,0.903132832,0.916090387,40.7340659,1.994250808,3.305785124,1.706791232,8.480057492,6.000718649,0.323392023,0.41322314,1.706791232,2.479338843,4.761049227,0.269493352,0,0.467121811,3.449514912,1.167804527,7.402084082,0.179662235,0.035932447,1.724757456,0,1.149838304,0.323392023,0.826446281,0.664750269,1.473230327,0.610851599,1.293568092,0.089831117,0.143729788,0,1.167804527,0,0.754581387,0,10.31261229,1.365432986,1.724757456,0.323392023,0.197628458,0.574919152,0.143729788,0,0.323392023,0,0,1.329500539,0,0,0.071864894,0.251527129,0.449155587,0,0,0.107797341,0,3.485447359,0,0.503054258,0.107797341,0,5.066475027,1.742723679,0.089831117,0.41322314,0,0.35932447,0,1.922385914,0,0,0.646784046,0,0,0,0,0,0.251527129,0,0,0,0,0,0,0,0.467121811,0.610851599,1.347466762,0.233560905,0.485088034,0,0,0,0.233560905,0,0.05389867,1.042040963,0,0.592885375,0,0,1.383399209,0,0,0,0.143729788,0.161696011,7.114624506
162,ADLIB,2017-09-28,Pre_AB,Ohau,,,,,,,,,,,,,,,0,51,13,27,0.607142857,54.79917741,0.962650659,0.154101706,1.116752365,0.23895577,21.93987552,0.862009062,0.888260994,0.903422494,19.64152249,1.775722071,0.0952425,1.870964571,0.48040692,37.87170183,0.952630156,0.962136374,0.967513309,36.2310924,8.701099819,13.46234164,23.70875679,5.986356675,2.311012112,0.45941807,0.918836141,0.389809272,0.835305583,2.8678825,0.626479187,0.45941807,1.684532925,1.823750522,1.684532925,3.508283447,1.294723653,0.877070862,1.740219964,1.43394125,1.197271335,0,1.865515801,0.278435194,0.94667966,0.111374078,0.125295837,1.628845886,0,0,0.389809272,0.041765279,0,0.125295837,0,0.48726159,0.222748155,0.348043993,0.849227342,0.529026869,0.236669915,0,0.167061117,0.863149102,0,0.765696784,0.139217597,0.194904636,0.250591675,0.348043993,1.475706529,0.640400947,0,0.167061117,0.445496311,0.375887512,0,0.863149102,0.250591675,0,1.44786301,0.194904636,0,0.793540303,0,0.47333983,0.111374078,0.348043993,0,0.389809272,0,0.097452318,0,0.222748155,0,0,0.556870388,0.877070862,0,0,0,0,0.139217597,0,0.417652791,0.027843519,0,0.083530558,0.264513434,0,0,0.027843519,0,0,0,0,0,0,0.180982876,0,0,0,0,0.139217597,0,0.334122233,1.768063483
20,ADLIB,2017-10-05,Pre_AB,Farmway,15.53414322,2.393249573,0.814228797,0.448745497,0.238315624,0.344727261,19.75083136,78.650579,12.1172093,4.122503923,2.272033461,1.206610598,1.745381018,6.472559675,2,39.5,13,35,0.470238095,71.36375876,0.859528696,0.10115625,0.960684946,0.233837893,19.0885943,0.894704033,0.915346781,0.92713458,20.21267151,1.131989357,0.235305,1.367294357,0.341866657,26.54310462,0.829418407,0.860245896,0.878363685,26.6198547,5.062271849,4.756280868,1.438694438,8.873738458,4.707966502,1.079020829,3.602104359,2.818337986,3.704101353,4.450289886,1.508481855,1.476272278,3.988619283,0.069787417,5.770882542,3.006227185,3.16727507,0.166416148,1.551427958,0.858922053,0.998496886,0.010736526,0.203993988,0.424092764,0.730083745,0.907236418,1.712475843,3.484002577,0.112733519,0.07515568,0.875026841,0.03757784,0.719347219,0.381146661,0.971655572,0.950182521,0.488511918,0.257676616,1.10049388,0.660296328,0.327464033,0.03757784,0.069787417,0.429461026,0.134206571,1.245436977,0.139574834,0,0.365041872,0.424092764,0,0.20936225,1.417221387,1.637320163,0,0.091260468,0,0.289886193,0.134206571,0,0.026841314,0.021473051,0.134206571,0.20936225,0.080523942,1.825209362,0.026841314,0.327464033,0,1.852050676,0.488511918,0,0.198625725,0.241571827,0.026841314,0,0.370410135,1.009233412,0.633455014,0.123470045,0.214730513,0,0.07515568,0,0.225467039,0.268413142,0.101996994,0.048314365,0.654928065,0.059050891,0.268413142,0,0.085892205,0,0.134206571,0.869658578,0,0.150311359,0.021473051,0.064419154,0.059050891,0.048314365,0,0.193257462,0.091260468,0.166416148,4.493235989
22,ADLIB,2017-10-05,Pre_AB,Farmway,43.22659403,12.6755692,3.880439518,1.922830377,1.607491762,2.236120977,65.53734897,65.95719038,19.34098556,5.920958932,2.933945921,2.452787284,3.4119796,3.403668821,0,63.5,12,38,0.755952381,71.96062828,1.302768651,0.142695,1.445463651,0.303254232,28.78606277,0.901280811,0.920748422,0.931840062,22.04290332,2.009451,0.20916,2.218611,0.56432212,44.25054609,0.906790379,0.924488857,0.934705932,34,10.29646159,11.61938157,21.74051642,7.873764743,2.327064074,0.557857826,2.151737329,0.621613006,1.434491552,3.761555626,1.402613962,0.812878546,4.797577303,0.111571565,1.689512273,1.801083838,1.147593242,0.414408671,0.334714696,1.386675167,2.119859739,0,4.542556583,0.637551801,0,0.398469876,0.350653491,2.263308894,0.111571565,0.12751036,0,0,0.382531081,0.446286261,0,0.733184571,0.446286261,0,0.525980236,0.414408671,0,0,0,0.446286261,0.207204335,0.637551801,0.09563277,0.19126554,0.382531081,0,0.25502072,0.414408671,0,0.111571565,0,0,0,0.366592286,0,0,0.25502072,0,0.382531081,0.12751036,0.111571565,1.036021677,0,0.446286261,0,0.111571565,0,0,0,0.175326745,0,0,0,0.366592286,0,0.09563277,0.733184571,0.111571565,0,0.12751036,0.28689831,0,0.270959515,0.22314313,0.111571565,0,0,0,0.175326745,0.478163851,0,0,0,0,0,0,0,0.09563277,0,0,0,0,1.386675167
161,ADLIB,2017-10-05,Pre_AB,Ohau,19.09982968,4.494920656,1.124020254,0.825528931,0.455031158,0.592844506,26.61117276,71.77372396,16.89110321,4.22386591,3.102189215,1.709925233,2.227803004,4.244406596,0,63.5,20,29,0.755952381,60.98255597,1.166654,0.273018125,1.439672125,0.303053385,27.77540508,0.810360901,0.844668002,0.864844484,25.29166667,1.553319214,0.6405525,2.193871714,0.533914378,40.7904395,0.704529849,0.751917735,0.78090179,33.6741071,12.14725036,7.050470333,19.9936686,1.080861071,8.710202605,4.694283647,7.299204052,0.122105644,0.68288712,1.29341534,3.577243126,1.989869754,2.044138929,0.040701881,1.560238784,0.185419682,1.542149059,2.926013025,0.936143271,1.035636758,0.488422576,0,0.081403763,0.339182344,0.063314038,0.1447178,0.054269175,0.619573082,0.122105644,1.130607815,0.085926194,0.759768452,0,0.578871201,0.090448625,0.203509407,0.375361795,0.045224313,0.515557164,0.221599132,0.235166425,0.10853835,0.18089725,1.582850941,0.375361795,0.081403763,0.587916064,0.257778582,0.529124457,0.167329957,0,0.248733719,0.058791606,0.067836469,0,0,0.266823444,0,0.099493488,0.067836469,0,0,0.158285094,0,0.058791606,0.045224313,0.1447178,0,1.912988423,0.081403763,0,0.307525326,0.239688857,0.018089725,0,0,0.040701881,0,0.135672938,0.045224313,1.745658466,0.027134588,0.104015919,0.343704776,0.081403763,0,0,0.104015919,0.067836469,0.113060781,0,0.253256151,0.131150507,0,0.153762663,0.058791606,0,0,0.090448625,0,0,0,0,0,0.0723589,0,3.717438495
170,ADLIB,2017-10-05,Pre_AB,Ohau,,,,,,,,,,,,,,,0,47.5,0,25,0.56547619,49.3292656,1.209641589,0.0996,1.309241589,0.259151222,26.27602032,0.923925423,0.939228577,0.947880235,23.3098545,1.793843786,0.2334375,2.027281286,0.513303097,40.14500917,0.879937727,0.902040711,0.914938436,34.5674603,9.446614104,5.261218775,12.34249503,4.406454941,2.822194385,0.655810183,1.517942672,5.077002432,5.858079729,3.256944956,1.488468057,0.70739076,1.805320168,0.862132488,1.613735171,4.428560902,3.61800899,0.265271535,0.302114804,0,0.840026527,0,0.700022106,0.88423845,2.291651315,0.94318768,0.972662295,0.76633999,0.140004421,0.125267114,0.493699801,0,2.96956746,0.442119225,1.171615946,0.677916145,0.272640189,0,2.055854395,0.162110382,0.302114804,0,0.383169995,0.449487879,0.287377496,0.147373075,0.088423845,0.125267114,0.23579692,0,0.029474615,0.41264461,0.051580576,0.478962494,0,0.11789846,0,0.272640189,0,0,0.088423845,0.051580576,0.280008842,0.464225186,0.206322305,1.031611525,0.066317884,0.110529806,0.140004421,2.453761698,0,0,0.036843269,0.073686537,0.140004421,0.022105961,0.324220765,0,0.265271535,0.950556333,0.324220765,0,0.110529806,0.132635767,0.243165574,0,0.596860954,0.044211922,0.368432687,0,0,0,0.478962494,1.488468057,0,0.898975757,0,0,0,0,0,0,0,0,0,0.184216344,3.396949377
177,ADLIB,2017-10-05,Pre_AB,Ohau,29.05536264,9.926638321,3.487828519,1.615186575,1.417270703,1.666041937,47.23025308,61.51854107,21.01754209,7.384733919,3.419813509,3.00076881,3.527488905,2.934885115,2,59.5,19,33,0.708333333,44.57282056,1.248236036,0.07127625,1.319512286,0.257529338,26.68122841,0.945982883,0.957055199,0.963268242,30.92602041,1.667609571,0.1960875,1.863697071,0.472913295,37.0322842,0.889548529,0.910840306,0.923071099,41.3163265,1.853955794,2.520140467,19.41747573,6.914893617,0.134269779,0.593885561,0.263375336,0.779797562,2.406527577,0.50092956,0.165255113,0.051642223,0.934724231,7.049163396,0.681677339,6.444949391,0.036149556,0,0.108448668,0.707498451,1.657715348,2.39103491,0.609378228,0.253046891,0,0.278868002,11.99648833,0,0.144598224,0,2.416856021,0.046478,0.402809337,0.020656889,1.074158232,0.511258005,0.562900227,0,0.402809337,0.459615782,0.077463334,0,0.521586449,0.619706672,0,0.784961785,0,0,0.072299112,0,3.940301591,0.129105557,0.11361289,0.103284445,0,0.449287337,0,0.815947118,0.036149556,0,0.407973559,0,0.098120223,0.103284445,0.030985334,0.371824003,0,2.329064243,0,0,0.604214005,0,0.191076224,0.087791779,0.030985334,0,0.165255113,0.351167114,0.371824003,0,0,0,0,0,0.222061558,0.511258005,0.459615782,0,0.268539558,0,0.020656889,0,0.258211113,1.285891345,0.061970667,0.469944226,0,0.206568891,0,0,0.134269779,0,0,0,1.198099566,0.201404668,7.100805619
27,ADLIB,2017-10-12,Pre_AB,Farmway,62.27261929,18.23996572,8.894242082,1.675526167,0.182726389,1.347632665,92.62844165,67.22840002,19.69153901,9.602063819,1.808867921,0.197268124,1.454879993,3.421572488,9,48,15,23,0.571428571,69.69252408,1.120326768,0.082579939,1.202906707,0.228997916,24.20300232,0.931349673,0.945247868,0.9530854,21.00527357,1.621069714,0.06723,1.688299714,0.434544618,34.30223792,0.961079689,0.968308147,0.972512956,30.3938224,4.259527891,1.367093059,9.521297639,9.710316937,1.51215438,0.241768869,0.052749571,14.92373291,6.461822498,1.160490571,0.167040309,0.101103345,0.259352059,4.026550618,0.457162952,3.833135522,0.575849488,0,0.131873929,0.127478131,1.793485428,1.705569476,0.329684821,0.351663809,0,1.257198119,0.637390655,0,0.175831905,0.008791595,1.446217416,0.035166381,2.716602928,0,2.171524023,0.38683019,0.391225988,0.268143655,0.140665524,0.171436107,0.083520155,0,0.219789881,0.131873929,0,0.580245286,0,0,0.210998286,0.483537738,9.829003473,0.114290738,0,0,0.070332762,0.210998286,0,0.545078905,0.136269726,0,2.905622225,0.043957976,0.307705833,0,0.263747857,0.131873929,0,0.347268012,0,0,0.127478131,0.008791595,0.026374786,0.043957976,0,0,0.224185678,0.096707548,0.101103345,0.013187393,0,0,0.061541167,0,0.193415095,0.210998286,0.228581476,0.087915952,0.430788167,0,0,0,1.169282166,0,0,1.226427535,0.008791595,0.219789881,0,0,1.028616642,0.619807464,0,0,0.215394083,0.175831905,3.986988439
33,ADLIB,2017-10-12,Pre_AB,Farmway,,,,,,,,,,,,,,,0,48.5,13,19,0.577380952,59.90386384,1.110215512,0.1160775,1.226293012,0.282972686,24.45540302,0.90534277,0.924076833,0.934735665,19.25451807,1.437381429,0.0653625,1.502743929,0.386478169,30.49441799,0.963640568,0.971032696,0.975193771,24.9285714,1.512993948,2.029191883,2.337723982,3.56591907,12.90494838,0.213599146,0.646730746,11.79541948,6.135042126,8.810964756,0.213599146,0.041533167,0.996796013,0.427198291,1.77405957,9.784027531,0.023733238,0,1.222261778,0.326332028,0.58739765,0.634864127,0,0.29666548,0.255132313,0.59333096,3.168387326,0,0.106799573,0.035599858,2.343657292,0.047466477,1.63759345,0.029666548,1.305328112,0.682330604,0.545864483,1.19259523,0.14833274,0.967129465,0.136466121,0,0.314465409,0.350065266,0,0.723863771,0,0,0.130532811,0.106799573,0.035599858,0.088999644,0,0.106799573,0,0.344131957,0,0.207665836,0.338198647,0,1.085795657,0.919662988,0.344131957,0,0.094932954,0.474664768,0,1.020529251,0,0,0.611130889,0,0,0.611130889,0,0,0.504331316,0.106799573,0.237332384,0,0,0,0,0,0.106799573,1.156995372,0.326332028,0,0.130532811,0,0,0,0.504331316,0.225465765,0,1.03239587,0,0.272932242,0,0,0.195799217,0,0,0,0.949329536,0,6.864839207
182,ADLIB,2017-10-12,Pre_AB,Ohau,,,,,,,,,,,,,,,21,53,20,26,0.630952381,62.07396319,1.211676271,0.1148175,1.326493771,0.260566541,26.52715505,0.913442865,0.930696519,0.940485867,20.50161622,1.9907115,0.1662075,2.156919,0.550695036,43.27410291,0.922023596,0.937407432,0.94616795,33.6829268,0.209533787,1.98009429,15.79884756,0.743844945,0.052383447,0.104766894,0,12.33106338,7.354635935,0,0,0,0,41.99057098,0,0,0,0,0,0,0,0,0.921948664,0.513357779,0,0.911471975,1.089575694,0,0.083813515,0,0,0,2.231534835,0,0,0,1.519119958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.424829754,0,0,0.356207438,0.136196962,0.178103719,0,0.209533787,0,0,0,0,0.052383447,0,0,0,0,0,0,0,0,0,0,0,0.115243583,0,0.136196962,0,0,0,0,0,0,0,0.094290204,0.523834468,0,0,0,0,0,0.586694605,0,0,0,0.32477737,8.025144054
185,ADLIB,2017-10-12,Pre_AB,Ohau,,,,,,,,,,,,,,,2,42.5,10,17,0.505952381,50.41006928,1.074837976,0.13608,1.210917976,0.265445447,24.00201392,0.887622446,0.909513095,0.922044042,16.56974565,1.456738714,0.138195,1.594933714,0.406361151,31.89443138,0.919560218,0.933117848,0.941242946,22.4571428,10.78401464,6.44447834,13.41900549,7.878279439,3.668395363,0.472849298,0.251677852,3.043014033,1.281269067,3.534929835,0.175411836,0.213544844,0.716900549,6.288133008,2.375686394,3.390024405,4.350976205,0,1.696918853,1.281269067,0.842739475,1.052471019,0.579621721,0.236424649,3.481543624,0.43471629,0.282184259,0,0.14490543,0.041946309,0.564368517,0.022879805,0.43471629,0.19066504,0.125838926,0.469035998,0.369890177,0.587248322,0.129652227,0.583435021,0.186851739,0,0.125838926,0.305064063,0.102959121,0.221171446,0,0.04957291,0.270744356,0.91519219,2.318486882,0.179225137,0.007626602,0.19447834,1.189749847,0.04575961,0,0.224984747,0.67114094,0,0.438529591,0.270744356,1.277455766,0,0.087705918,0.655887736,0.083892617,0.713087248,0,0.053386211,0.19066504,0,0.053386211,0.274557657,0.122025625,0,0.221171446,0.122025625,0.282184259,0.114399024,0,0.019066504,0,0,0.102959121,0.061012813,0.183038438,0.14490543,0.106772422,0,0,0,1.067724222,0.503355705,0,0.175411836,0.011439902,0.106772422,0.022879805,0,0.072452715,0.137278829,0,0,0.038133008,0.312690665,3.12309335
195,ADLIB,2017-10-12,Pre_AB,Ohau,,,,,,,,,,,,,,,1,77,18,30,0.916666667,48.19392944,1.553750453,0.161637618,1.715388071,0.408198867,34.21423907,0.905771982,0.924428189,0.935041161,29.13163752,2.1550425,0.1512675,2.30631,0.590307603,46.4522532,0.938997756,0.950779384,0.957544109,40.4054054,3.335323723,3.9750917,1.117461401,8.564360659,5.774972277,0.443572464,0.946856607,1.637806022,3.11353749,5.868804913,1.066279962,0.392391026,4.725752794,0,2.226392562,7.984304359,1.816941056,0.127953595,1.953424891,0.503284142,1.245414996,0.55446558,0,0.162074554,0.28149791,0.486223663,13.95547215,0.324149109,0.093832637,0,2.772327902,0.017060479,0.503284142,0.102362876,0.520344622,0.716540135,0,0.426511985,0.469163183,0.57152606,0.264437431,0.119423356,0.27296767,0.110893116,0,0.400921266,0,0,0.110893116,0.119423356,0,0.349739828,0.639767977,1.066279962,0,0.213255992,0,0.170604794,0.238846712,0,0,0.230316472,0.417981745,0,0.093832637,0.435042225,0.068241918,1.219824277,0,0,0.307088629,0,0.017060479,0.503284142,0,0,0.136483835,0,0.528874861,0,0,0,0.170604794,0.059711678,0.375330547,0.298558389,0.528874861,0.307088629,0.324149109,0,0.264437431,0.042651198,0,0,0,0.5800563,0,0.119423356,0.068241918,0.145014075,0.119423356,0,0,0,0.588586539,0,9.195598396
199,ADLIB,2017-10-12,Pre_AB,Ohau,29.20498338,7.409580084,2.789212592,1.249483591,0.675932571,0.985725776,42.27094626,69.08996831,17.52877742,6.598415315,2.955892171,1.599047645,2.331922663,3.946619376,13,73,17,27,0.869047619,53.67595957,1.477005518,0.110649375,1.587654893,0.349295424,31.93297252,0.930306406,0.944403202,0.95235555,27.32349206,2.222175214,0.093375,2.315550214,0.595925186,47.03849391,0.960717574,0.96868005,0.973167159,41.1085714,6.460143559,8.153884901,10.13726231,9.860219116,6.919783403,0.673718675,0.377786173,0.402971918,1.485958947,2.203752676,1.089283466,0.686311548,3.532300718,0.239264576,5.024556101,2.323384964,2.43042438,0.138521597,0.900390379,0.585568568,0.900390379,3.840826092,0.692607984,0.434454099,0.371489737,0.239264576,5.169374134,1.1648407,0.075557235,0.100742979,4.130462158,0.044075054,0.044075054,0.340007556,0.547789951,0.421861227,0.295932502,0.346303992,0.220375268,0.56667926,0.094446543,0,0.119632288,0.327414683,0.107039416,0.528900642,0.094446543,0.188893087,0.170003778,0.245561012,0,0.390379045,0.031482181,0.151114469,0.308525375,0,0.056667926,0.402971918,0.340007556,0,0.226671704,0.868908198,0.837426017,0,0.18259665,0.245561012,0.031482181,0.969651177,0,0,0.056667926,0,0,0.207782395,0.113335852,0,0.295932502,0,0.258153885,0.05037149,0.23296814,0,0,0,0.327414683,0,0.522604206,0.144818033,0,0,0.088150107,0.094446543,0.088150107,0,0,0.23296814,0,0.107039416,0.025185745,0,0,0.119632288,0,0.176300214,1.259287243,0.201485959,4.904923813
